n1	n2	d	scpd
5120	640	0.2	0.0992856106960137
5120	1280	0.2	0.126204441468622
5120	2560	0.2	0.145269019889054
5120	5120	0.2	0.158724402524817
10	10	0.25	-0.721994857458373
10	20	0.25	-0.482129591770208
10	40	0.25	-0.322267087671942
10	80	0.25	-0.212178670154767
10	160	0.25	-0.135254358153795
10	320	0.25	-0.081162860274218
10	640	0.25	-0.0430074146653278
10	1280	0.25	-0.0160234557910947
10	2560	0.25	0.00296912492640252
10	5120	0.25	0.0164838744711428
20	10	0.25	-0.657121979222993
20	20	0.25	-0.420173319536787
20	40	0.25	-0.261555635623009
20	80	0.25	-0.152028677044952
20	160	0.25	-0.0753470768571778
20	320	0.25	-0.0213542471386669
20	640	0.25	0.0166997555100692
20	1280	0.25	0.0436678049587529
20	2560	0.25	0.0626904399465691
20	5120	0.25	0.076140856820039
40	10	0.25	-0.611988939371464
40	20	0.25	-0.376970254722347
40	40	0.25	-0.219194845293484
40	80	0.25	-0.11001030395789
40	160	0.25	-0.0335055946393875
40	320	0.25	0.0204153436736262
40	640	0.25	0.0584801994877729
40	1280	0.25	0.0853988625664216
40	2560	0.25	0.104414471544589
40	5120	0.25	0.117903826409857
80	10	0.25	-0.580392709751297
80	20	0.25	-0.346698728289888
80	40	0.25	-0.189469294448805
80	80	0.25	-0.0805282558022207
80	160	0.25	-0.00414194211701496
80	320	0.25	0.0497274505043625
80	640	0.25	0.0877963957283324
80	1280	0.25	0.114728625506865
80	2560	0.25	0.133773002119281
80	5120	0.25	0.147245033830886
160	10	0.25	-0.558247409048223
160	20	0.25	-0.325469987628874
160	40	0.25	-0.168597891304893
160	80	0.25	-0.0598197163017048
160	160	0.25	0.0165088201894105
160	320	0.25	0.0703769750680337
160	640	0.25	0.108405784226698
160	1280	0.25	0.135318669676828
160	2560	0.25	0.154380800083769
160	5120	0.25	0.167848677770299
320	10	0.25	-0.542612972463807
320	20	0.25	-0.31043903860333
320	40	0.25	-0.153869469528096
320	80	0.25	-0.0452278073349584
320	160	0.25	0.0310924609074535
320	320	0.25	0.0849348115466284
320	640	0.25	0.122966184326966
320	1280	0.25	0.149883051801272
320	2560	0.25	0.168918896074628
320	5120	0.25	0.182406735941966
640	10	0.25	-0.531601669611333
640	20	0.25	-0.299875499447532
640	40	0.25	-0.143478094354348
640	80	0.25	-0.0348689359978094
640	160	0.25	0.0413769879559737
640	320	0.25	0.0951911726204569
640	640	0.25	0.133246419846057
640	1280	0.25	0.160183405360789
640	2560	0.25	0.179201764393501
640	5120	0.25	0.192689789197094
1280	10	0.25	-0.523842224362633
1280	20	0.25	-0.292425499364274
1280	40	0.25	-0.136142608501432
1280	80	0.25	-0.0276288860797989
1280	160	0.25	0.0486316609423447
1280	320	0.25	0.102433356375833
1280	640	0.25	0.140477040056573
1280	1280	0.25	0.167416029793956
1280	2560	0.25	0.186456150321818
1280	5120	0.25	0.199941327418699
2560	10	0.25	-0.518373407626557
2560	20	0.25	-0.287171567776661
2560	40	0.25	-0.130978424240062
2560	80	0.25	-0.0224905234767451
2560	160	0.25	0.0537585347726919
2560	320	0.25	0.107539871353216
2560	640	0.25	0.145594490533738
2560	1280	0.25	0.172525573852203
2560	2560	0.25	0.19156914841219
2560	5120	0.25	0.205035318357288
5120	10	0.25	-0.514509538466149
5120	20	0.25	-0.283457682554576
5120	40	0.25	-0.12730701112424
5120	80	0.25	-0.0188587289829773
5120	160	0.25	0.0573399245336255
5120	320	0.25	0.111182810555261
5120	640	0.25	0.149238464108996
5120	1280	0.25	0.176131080087857
5120	2560	0.25	0.195193784633599
5120	5120	0.25	0.208654626745248
10	10	0.3	-0.668781499293251
10	20	0.3	-0.431317657675436
10	40	0.3	-0.272500167660725
10	80	0.3	-0.162848581254993
10	160	0.3	-0.0861366711377451
10	320	0.3	-0.0321281855266245
10	640	0.3	0.00592907456219878
10	1280	0.3	0.032881894873852
10	2560	0.3	0.0519347834066507
10	5120	0.3	0.0653712768531028
20	10	0.3	-0.603726465978972
20	20	0.3	-0.369061263534781
20	40	0.3	-0.211438869150743
20	80	0.3	-0.102288713016007
20	160	0.3	-0.0258406864779242
20	320	0.3	0.0280640637002687
20	640	0.3	0.0661115396395497
20	1280	0.3	0.0930577127249013
20	2560	0.3	0.11207406246321
20	5120	0.3	0.125553406873032
40	10	0.3	-0.558559144550256
40	20	0.3	-0.325769072325154
40	40	0.3	-0.168892190261367
40	80	0.3	-0.0601120796963486
40	160	0.3	0.0162175415671384
40	320	0.3	0.0700832266206812
40	640	0.3	0.108115059346837
40	1280	0.3	0.135028996412928
40	2560	0.3	0.154085902221302
40	5120	0.3	0.167558449925587
80	10	0.3	-0.527011959064263
80	20	0.3	-0.295469433738811
80	40	0.3	-0.13913731131388
80	80	0.3	-0.0306060803021213
80	160	0.3	0.0456673795061983
80	320	0.3	0.0994924766563041
80	640	0.3	0.137503557779868
80	1280	0.3	0.164451310790025
80	2560	0.3	0.183507764574704
80	5120	0.3	0.197002504484037
160	10	0.3	-0.50486840113636
160	20	0.3	-0.27418324367862
160	40	0.3	-0.118219134120093
160	80	0.3	-0.00979133661784963
160	160	0.3	0.0663917720061704
