n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
20	20	0.8	0	0.450704225352113	0	0.450704225352113	0.408450704225352	0.183098591549296	0.211267605633803	0.436619718309859	0.323943661971831	0.338028169014085	0.450704225352113	0
40	20	0.8	0	0.5	0.0319148936170213	0.5	0.48936170212766	0.297872340425532	0.212765957446809	0.48936170212766	0.351063829787234	0.372340425531915	0.5	0.0319148936170213
80	20	0.8	0	0.49	0.03	0.49	0.49	0.3	0.1	0.49	0.36	0.4	0.49	0.03
160	20	0.8	0	0.49	0.03	0.49	0.49	0.3	0.06	0.48	0.34	0.38	0.49	0.03
320	20	0.8	0	0.49	0.03	0.49	0.49	0.31	0.04	0.47	0.32	0.35	0.49	0.03
20	40	0.8	0	0.492957746478873	0.028169014084507	0.492957746478873	0.309859154929577	0.0563380281690141	0.154929577464789	0.394366197183099	0.197183098591549	0.253521126760563	0.492957746478873	0.028169014084507
40	40	0.8	0	0.436170212765957	0.0212765957446809	0.436170212765957	0.393617021276596	0.0851063829787234	0.0851063829787234	0.382978723404255	0.191489361702128	0.223404255319149	0.425531914893617	0.0212765957446809
80	40	0.8	0	0.46	0.03	0.46	0.46	0.06	0.03	0.31	0.17	0.18	0.46	0.03
160	40	0.8	0	0.46	0.03	0.46	0.46	0.06	0.03	0.21	0.1	0.1	0.46	0.03
320	40	0.8	0	0.46	0.03	0.46	0.46	0.06	0.03	0.2	0.06	0.09	0.46	0.03
20	80	0.8	0	0.549295774647887	0.0140845070422535	0.549295774647887	0.169014084507042	0.0140845070422535	0.0845070422535211	0.323943661971831	0.0985915492957746	0.126760563380282	0.549295774647887	0.0140845070422535
