n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
320	20	0.8	0	0.509	0.019	0.509	0.509	0.276	0.019	0.453	0.295	0.32	0.509	0.008
20	40	0.8	0	0.540229885057471	0.0258620689655172	0.311781609195402	0.540229885057471	0.0387931034482759	0.17816091954023	0.477011494252874	0.260057471264368	0.295977011494253	0.535919540229885	0
40	40	0.8	0	0.525531914893617	0.0212765957446809	0.493617021276596	0.525531914893617	0.1	0.104255319148936	0.453191489361702	0.237234042553191	0.251063829787234	0.523404255319149	0.00425531914893617
80	40	0.8	0	0.528	0.022	0.528	0.528	0.104	0.043	0.393	0.17	0.181	0.52	0.002
160	40	0.8	0	0.528	0.022	0.528	0.528	0.084	0.013	0.309	0.107	0.119	0.526	0.002
320	40	0.8	0	0.528	0.022	0.528	0.528	0.075	0.005	0.213	0.095	0.106	0.524	0.001
20	80	0.8	0	0.531609195402299	0.021551724137931	0.185344827586207	0.531609195402299	0.0014367816091954	0.113505747126437	0.385057471264368	0.15948275862069	0.191091954022989	0.520114942528736	0
40	80	0.8	0	0.512765957446809	0.0234042553191489	0.426595744680851	0.512765957446809	0.0180851063829787	0.0648936170212766	0.306382978723404	0.117021276595745	0.131914893617021	0.493617021276596	0
80	80	0.8	0	0.518	0.025	0.516	0.518	0.013	0.016	0.199	0.056	0.06	0.449	0
160	80	0.8	0	0.518	0.025	0.518	0.518	0.005	0.001	0.087	0.016	0.019	0.382	0
320	80	0.8	0	0.518	0.025	0.518	0.518	0.004	0	0.037	0.006	0.006	0.296	0
20	160	0.8	0	0.48132183908046	0.021551724137931	0.132183908045977	0.48132183908046	0	0.0919540229885057	0.264367816091954	0.102011494252874	0.125	0.461206896551724	0
40	160	0.8	0	0.477659574468085	0.024468085106383	0.309574468085106	0.477659574468085	0	0.0382978723404255	0.20531914893617	0.0553191489361702	0.0627659574468085	0.421276595744681	0
80	160	0.8	0	0.483	0.023	0.479	0.483	0.002	0.006	0.074	0.015	0.015	0.313	0
160	160	0.8	0	0.483	0.023	0.483	0.483	0	0	0.013	0.001	0.001	0.141	0
320	160	0.8	0	0.483	0.023	0.483	0.483	0	0	0.002	0	0	0.028	0
20	320	0.8	0	0.488505747126437	0.0158045977011494	0.0704022988505747	0.488505747126437	0	0.0560344827586207	0.193965517241379	0.0488505747126437	0.0732758620689655	0.458333333333333	0
40	320	0.8	0	0.493617021276596	0.0180851063829787	0.184042553191489	0.493617021276596	0	0.0202127659574468	0.111702127659574	0.0287234042553191	0.0340425531914894	0.378723404255319	0
80	320	0.8	0	0.494	0.019	0.461	0.494	0	0.002	0.03	0.005	0.005	0.227	0
160	320	0.8	0	0.494	0.019	0.494	0.494	0	0	0.001	0	0	0.032	0
320	320	0.8	0	0.494	0.019	0.494	0.494	0	0	0	0	0	0	0
20	20	1	0	0.507990867579909	0.0182648401826484	0.441780821917808	0.507990867579909	0.13013698630137	0.150684931506849	0.453196347031963	0.267123287671233	0.3162100456621	0.505707762557078	0.0045662100456621
