n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
20	80	0.8	0.2	1	1	1	1	0.131868131868132	0.615384615384615	0.89010989010989	0.648351648351648	0.741758241758242	1	1	0
40	80	0.8	0.2	1	1	1	1	0.378151260504202	0.600840336134454	0.945378151260504	0.739495798319328	0.764705882352941	1	1	0.0252100840336134
80	80	0.8	0.2	1	1	1	1	0.285140562248996	0.301204819277108	0.951807228915663	0.55421686746988	0.602409638554217	1	1	0.0240963855421687
160	80	0.8	0.2	1	1	1	1	0.273092369477912	0.0923694779116466	0.879518072289157	0.421686746987952	0.449799196787149	1	1	0
320	80	0.8	0.2	1	1	1	1	0.248995983935743	0.0240963855421687	0.751004016064257	0.34136546184739	0.377510040160643	1	1	0
20	160	0.8	0.2	1	1	1	1	0.00321543408360129	0.533762057877814	0.807073954983923	0.530546623794212	0.578778135048232	0.996784565916399	0.408360128617363	0
40	160	0.8	0.2	1	1	1	1	0.0734597156398104	0.398104265402844	0.78436018957346	0.464454976303318	0.492890995260663	0.983412322274882	1	0.004739336492891
80	160	0.8	0.2	1	1	1	1	0.0647321428571429	0.154017857142857	0.604910714285714	0.252232142857143	0.258928571428571	0.946428571428571	1	0
160	160	0.8	0.2	1	1	1	1	0.022271714922049	0.022271714922049	0.33184855233853	0.0712694877505568	0.0734966592427617	0.88195991091314	1	0
320	160	0.8	0.2	1	1	1	1	0.0089086859688196	0.0044543429844098	0.10913140311804	0.0200445434298441	0.022271714922049	0.679287305122494	1	0
20	320	0.8	0.2	1	1	1	1	0	0.423404255319149	0.702127659574468	0.402127659574468	0.451063829787234	0.976595744680851	0.0212765957446809	0
40	320	0.8	0.2	1	1	1	1	0.00753012048192771	0.280120481927711	0.572289156626506	0.314759036144578	0.343373493975904	0.942771084337349	0.617469879518072	0
80	320	0.8	0.2	1	1	1	1	0.00574712643678161	0.0732758620689655	0.281609195402299	0.102011494252874	0.107758620689655	0.82183908045977	1	0
160	320	0.8	0.2	1	1	1	1	0	0.00286944045911047	0.078909612625538	0.0100430416068867	0.0129124820659971	0.443328550932568	1	0
320	320	0.8	0.2	1	1	1	1	0	0	0.00286944045911047	0	0	0.124820659971306	1	0
20	20	1	0.2	1	1	1	1	0.839506172839506	0.851851851851852	0.975308641975309	0.901234567901235	0.925925925925926	1	1	0.197530864197531
40	20	1	0.2	1	1	1	1	0.881720430107527	0.827956989247312	1	0.924731182795699	0.935483870967742	1	1	0.161290322580645
80	20	1	0.2	1	1	1	1	0.978494623655914	0.666666666666667	1	1	1	1	1	0.0967741935483871
160	20	1	0.2	1	1	1	1	1	0.494623655913978	1	1	1	1	1	0.0752688172043011
320	20	1	0.2	1	1	1	1	1	0.258064516129032	1	1	1	1	1	0.0645161290322581
20	40	1	0.2	1	1	1	1	0.462264150943396	0.764150943396226	0.962264150943396	0.839622641509434	0.877358490566038	1	1	0.00943396226415094
40	40	1	0.2	1	1	1	1	0.528455284552846	0.569105691056911	0.983739837398374	0.699186991869919	0.75609756097561	1	1	0.032520325203252
80	40	1	0.2	1	1	1	1	0.568	0.296	0.976	0.768	0.8	1	1	0.008
160	40	1	0.2	1	1	1	1	0.56	0.104	0.968	0.712	0.744	1	1	0
320	40	1	0.2	1	1	1	1	0.552	0.008	0.944	0.648	0.712	1	1	0
20	80	1	0.2	1	1	1	1	0.0904761904761905	0.523809523809524	0.885714285714286	0.542857142857143	0.628571428571429	0.985714285714286	1	0
40	80	1	0.2	1	1	1	1	0.121951219512195	0.25609756097561	0.776422764227642	0.378048780487805	0.422764227642276	0.975609756097561	1	0.0040650406504065
80	80	1	0.2	1	1	1	1	0.0763052208835341	0.0803212851405622	0.606425702811245	0.200803212851406	0.232931726907631	0.971887550200803	1	0
160	80	1	0.2	1	1	1	1	0.0200803212851406	0.00803212851405622	0.309236947791165	0.0602409638554217	0.0682730923694779	0.923694779116466	1	0
320	80	1	0.2	1	1	1	1	0.0120481927710843	0	0.156626506024096	0.0321285140562249	0.0481927710843374	0.827309236947791	1	0
20	160	1	0.2	1	1	1	1	0.0027027027027027	0.316216216216216	0.648648648648649	0.318918918918919	0.367567567567568	0.959459459459459	0.362162162162162	0
40	160	1	0.2	1	1	1	1	0.0157657657657658	0.126126126126126	0.472972972972973	0.173423423423423	0.20045045045045	0.894144144144144	1	0.00225225225225225
80	160	1	0.2	1	1	1	1	0.0022271714922049	0.0178173719376392	0.180400890868597	0.0356347438752784	0.0378619153674833	0.657015590200445	1	0
160	160	1	0.2	1	1	1	1	0	0	0.0489977728285078	0.0044543429844098	0.0066815144766147	0.296213808463252	1	0
320	160	1	0.2	1	1	1	1	0	0	0.0022271714922049	0.0022271714922049	0.0022271714922049	0.0913140311804009	1	0
20	320	1	0.2	1	1	1	1	0	0.270903010033445	0.489966555183946	0.260869565217391	0.292642140468227	0.923076923076923	0.0234113712374582	0
40	320	1	0.2	1	1	1	1	0	0.0858806404657933	0.240174672489083	0.098981077147016	0.104803493449782	0.800582241630277	0.614264919941776	0
80	320	1	0.2	1	1	1	1	0	0.00860832137733142	0.0602582496413199	0.0143472022955524	0.0172166427546628	0.39167862266858	1	0
160	320	1	0.2	1	1	1	1	0	0	0.00143472022955524	0	0	0.0703012912482066	1	0
320	320	1	0.2	1	1	1	1	0	0	0	0	0	0.00143472022955524	1	0
20	20	0	0.5	1	1	1	1	1	1	1	1	1	1	1	0.727272727272727
